Gene	WT_rep1
EPlORYSAT000373811	3
EPlORYSAT000373812	0
EPlORYSAT000373814	0
EPlORYSAT000373815	0
EPlORYSAT000373816	0
EPlORYSAT000373818	0
EPlORYSAT000373820	0
EPlORYSAT000373822	0
EPlORYSAT000373825	0
EPlORYSAT000373826	0
EPlORYSAT000373829	0
EPlORYSAT000373831	3
EPlORYSAT000373834	0
EPlORYSAT000373835	0
EPlORYSAT000373837	0
EPlORYSAT000373839	2
EPlORYSAT000373840	0
EPlORYSAT000373842	0
EPlORYSAT000373845	0
EPlORYSAT000373846	0
EPlORYSAT000373847	0
EPlORYSAT000373848	0
EPlORYSAT000373849	0
EPlORYSAT000373851	0
EPlORYSAT000373852	1
EPlORYSAT000373854	0
EPlORYSAT000373859	0
EPlORYSAT000373861	0
EPlORYSAT000373862	0
EPlORYSAT000373867	0
EPlORYSAT000373869	4
EPlORYSAT000373870	0
EPlORYSAT000373871	0
EPlORYSAT000373872	0
Os01g0100100	2228
Os01g0100200	0
Os01g0100300	0
Os01g0100400	129
Os01g0100466	0
Os01g0100500	1181
Os01g0100600	429
Os01g0100650	0
Os01g0100700	799
Os01g0100800	903
Os01g0100900	2803
Os01g0101150	40
Os01g0101200	4578
Os01g0101300	98
Os01g0101600	3077
Os01g0101700	13693
Os01g0101800	41
Os01g0101850	0
Os01g0101900	0
Os01g0102000	0
